name,scientific name,size,difficulty,min. Tank size,specific gravity,PH,temperature,water hardness,stocking ratio,diet,life span,origin,family
Dwarf African Frog (,Hymenochirus boettgeri,"5-6  cm (2-2.4"")
",Easy,"19 Litres (5   US G.)
","Freshwater  
","6.8 - 7.8
","22 -30  °C (71.6-86°F)
","5-12 °d
","1:1 M:F
",Carnivore,"3-10 years
",,
Algae tablets,,,,,,,,,,,,,
Bristlenose Catfish (,Ancistrus sp.,"12.7-15.2cm (5-6  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 7.5
","21.1-26.1°C (70 -79  °F)
","6-13 °d
","1:1 M:F
",,"
",,
Amano Shrimp,,,,,,,,,,,,,
Cyclop-eez,,,,,,,,,,,,,
Bronze Cory (,Corydoras aeneus,"3-7  cm (1.2-2.8"")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","5.8 - 7.5
","22 -26  °C (71.6-78.8°F)
","20-30 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Amano Shrimp (,Caridina multidentata,"3.8-5.1cm (1.5-2  "")
",Moderate,"19 Litres (5   US G.)
", - ,"6.0 - 7.5
","17.8-27.2°C (64 -81  °F)
","6-10 °d
","1:1 M:F
",Omnivore,"1-3 years
",Asia,
Tiger Barb,,,,,,,,,,,,,
Zebra Otocinclus (,Otocinclus cocama,"4.1-5.1cm (1.6-2  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.5
","20.6-23.9°C (69 -75  °F)
","8-12 °d
","1:2 M:F
",Herbivore,"3-6 years
",South America,"Loricariidae
"
Neon tetras,,,,,,,,,,,,,
DI,,,,,,,,,,,,,
Aqua Essentials,,,,,,,,,,,,,
Peppered Oto (,Otocinclus flexilis,"3.8-5.3cm (1.5-2.1  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.8
","20-25°C (68 -77  °F)
","2-25 °d
","1:2 M:F
",Herbivore,"3-5 years
",South America,"Loricariidae
"
Red Fin Otocinclus (,Parotocinclus maculicauda,"5.1-7.6cm (2-3  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.5
","20 -25  °C (68-77°F)
","15-20 °d
","1:2 M:F
",Herbivore,"3-5 years
",South America,"Loricariidae
"
Carbon dioxide,,,,,,,,,,,,,
pH,,,,,,,,,,,,,
RO,,,,,,,,,,,,,
PFK,,,,,,,,,,,,,
Invertebrates,,,,,,,,,,,,,
African Dwarf Frog,,,,,,,,,,,,,
Marbled Otocinclus (,Hisonotus paulinus,"3.6-4.1cm (1.4-1.6  "")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","6.5 - 7.5
","24 -22  °C (75.2-71.6°F)
","8-20 °d
","2:3 M:F
",Herbivore,"2-5 years
",South America,"Loricariidae
"
Marbled Otocinclus (,Hisonotus paulinus,"3.6-4.1cm (1.4-1.6  "")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","6.5 - 7.5
","24 -22  °C (75.2-71.6°F)
","8-20 °d
","2:3 M:F
",Herbivore,"2-5 years
",South America,"Loricariidae
"
Caridina japonica,,,,,,,,,,,,,
Category:Otocinclus,,,,,,,,,,,,,
Category:Plecos,,,,,,,,,,,,,
Category:Otocinclus,,,,,,,,,,,,,
Zebra Otocinclus,,,,,,,,,,,,,
Bronze corydora,,,,,,,,,,,,,
Category:Corydoras,,,,,,,,,,,,,
Bristlenose,,,,,,,,,,,,,
Dr. Tim Hovanec,,,,,,,,,,,,,
Adipose,,,,,,,,,,,,,
Peppered Oto,,,,,,,,,,,,,
pH Shock,,,,,,,,,,,,,
Category:Otocinclus,,,,,,,,,,,,,
CO2,,,,,,,,,,,,,
Ph,,,,,,,,,,,,,
Category:Otocinclus,,,,,,,,,,,,,
Marbled Otocinclus,,,,,,,,,,,,,
Otocinclus paulinus,,,,,,,,,,,,,
Red Fin Otocinclus,,,,,,,,,,,,,
Dwarf Oto (,Macrotocinclus affinis,"3.8-5.1cm (1.5-2  "")
",Moderate,"19 Litres (5   US G.)
","Freshwater  
","6.0 - 8.0
","20 -26  °C (68-78.8°F)
","15-20 °d
","1:2 M:F
",Herbivore,"4-5 years
",South America,"Loricariidae
"
Dwarf Oto (,Macrotocinclus affinis,"3.8-5.1cm (1.5-2  "")
",Moderate,"19 Litres (5   US G.)
","Freshwater  
","6.0 - 8.0
","20 -26  °C (68-78.8°F)
","15-20 °d
","1:2 M:F
",Herbivore,"4-5 years
",South America,"Loricariidae
"
Oto,,,,,,,,,,,,,
Rosy Tetra (,Hyphessobrycon rosaceus,"3-4.1cm (1.2-1.6  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 7.5
","24 -28  °C (75.2-82.4°F)
","10-20 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Characidae
"
Corydoras,,,,,,,,,,,,,
Timothy A. Hovanec,,,,,,,,,,,,,
Slate Cory (,Corydoras concolor,"5.1-6.1cm (2-2.4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.0
","22.8-26.1°C (73 -79  °F)
","2-10 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Smokey Cory (,Corydoras gossei,"5.1-6.1cm (2-2.4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.0
","22.2-26.1°C (72 -79  °F)
","1-12 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Arched Corydoras (,Corydoras arcuatus,"5.1-7.6cm (2-3  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.5
","21.7-25.6°C (71 -78  °F)
","5-15 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Callichthyidae
"
Smudge Spot Cory (,Corydoras similis,"5.1-6.1cm (2-2.4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","5.6 - 7.0
","21.1-27.2°C (70 -81  °F)
","0-12 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Spotted Corydoras (,Corydoras ambiacus,"5.1-6.1cm (2-2.4  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.2
","21.7-25°C (71 -77  °F)
","5-12 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Water conditioners,,,,,,,,,,,,,
Dwarf Suckermouth Catfish,,,,,,,,,,,,,
PH shock,,,,,,,,,,,,,
Schwartz's Cory (,Corydoras schwartzi,"3.8-5.1cm (1.5-2  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.5 - 7.8
","22 -24  °C (71.6-75.2°F)
","2-20 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Sand's Cory (,Corydoras davidsandsi,"5.1-6.1cm (2-2.4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.0
","20-25°C (68 -77  °F)
","2-10 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Dwarf Otto,,,,,,,,,,,,,
Sangama Cory (,Corydoras virginiae,"5.1-6.1cm (2-2.4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.2
","22.2-27.2°C (72 -81  °F)
","5-12 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Hyphessobrycon bentosi rosaceus,,,,,,,,,,,,,
Mosiac Cory (,Corydoras haraldschultzi,"7.6-8.6cm (3-3.4  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 7.2
","23.9-26.1°C (75 -79  °F)
","2-15 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Otocinclus affinis,,,,,,,,,,,,,
Dwarf otocinclus,,,,,,,,,,,,,
Venezuelan Pygmy Cory (,Corydoras habrosus,"3.3-3.6cm (1.3-1.4  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.2 - 7.2
","22 -26  °C (71.6-78.8°F)
","8-15 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Rabaut's Cory (,Corydoras rabauti,"5.1-5.6cm (2-2.2  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","5.5 - 7.2
","22.8-26.1°C (73 -79  °F)
","0-12 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Robust Cory (,Corydoras robustus,"7.6-9.7cm (3-3.8  "")
",Moderate,"151 Litres (40   US G.)
","Freshwater  
","6.0 - 7.0
","22.2-26.1°C (72 -79  °F)
","1-12 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Reynold's Cory (,Corydoras reynoldsi,"3-3.2  cm (1.2-1.3"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 8.0
","22 -26  °C (71.6-78.8°F)
","1-20 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
Reticulated Cory (,Corydoras reticulatus,"5.1-6.1cm (2-2.4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.2
","22.2-26.1°C (72 -79  °F)
","2-15 °d
","1:1 M:F
",Omnivore,"15-25 years
",South America,"Callichthyidae
"
